Turn,Metric,Backend,Frontend,Difference,backend LLM until the first token arrive,frontend LLM until the first token arrive,Backend_total_to_first_token,Frontend_total_to_first_token
Turn 1,preDiscovery_start,38:31.564,38:30.060,backend +1504ms,,,,
Turn 1,preDiscovery_end,38:36.305,38:35.759,backend +546ms,,,,
Turn 1,discovery_start,38:36.722,38:35.759,backend +963ms,,,,
Turn 1,discovery_end,38:44.142,38:43.643,backend +499ms,,,,
Turn 1,first_token,38:56.061,38:55.405,backend +656ms,11919ms,11762ms,24497ms,25345ms
Turn 2,preDiscovery_start,40:06.370,40:05.433,backend +937ms,,,,
Turn 2,preDiscovery_end,40:12.225,40:11.708,backend +517ms,,,,
Turn 2,discovery_start,40:12.661,40:11.709,backend +952ms,,,,
Turn 2,discovery_end,40:17.751,40:17.234,backend +517ms,,,,
Turn 2,first_token,40:27.765,40:27.189,backend +576ms,10014ms,9954ms,21395ms,21756ms
Turn 3,preDiscovery_start,41:05.502,41:04.542,backend +960ms,,,,
Turn 3,preDiscovery_end,41:10.453,41:09.971,backend +482ms,,,,
Turn 3,discovery_start,41:10.925,41:09.972,backend +953ms,,,,
Turn 3,discovery_end,41:11.886,41:11.299,backend +587ms,,,,
Turn 3,first_token,41:24.682,41:24.114,backend +568ms,12796ms,12815ms,19180ms,19572ms
Turn 4,preDiscovery_start,42:37.059,42:35.229,backend +1830ms,,,,
Turn 4,preDiscovery_end,42:41.534,42:41.311,backend +223ms,,,,
Turn 4,discovery_start,42:42.307,42:41.311,backend +996ms,,,,
Turn 4,discovery_end,42:43.436,42:42.954,backend +482ms,,,,
Turn 4,first_token,42:58.641,42:58.084,backend +557ms,15205ms,15130ms,21582ms,22855ms
Turn 5,preDiscovery_start,44:05.488,44:04.538,backend +950ms,,,,
Turn 5,preDiscovery_end,44:07.103,44:06.602,backend +501ms,,,,
Turn 5,discovery_start,44:07.516,44:06.602,backend +914ms,,,,
Turn 5,discovery_end,44:08.535,44:08.033,backend +502ms,,,,
Turn 5,first_token,44:18.175,44:17.587,backend +588ms,9640ms,9553ms,12687ms,13049ms
Turn 6,preDiscovery_start,45:12.804,45:11.840,backend +964ms,,,,
Turn 6,preDiscovery_end,45:30.033,45:29.450,backend +583ms,,,,
Turn 6,discovery_start,45:30.492,45:29.451,backend +1041ms,,,,
Turn 6,discovery_end,45:31.581,45:30.955,backend +626ms,,,,
Turn 6,first_token,45:40.969,45:40.414,backend +555ms,9388ms,9459ms,28165ms,28574ms
Turn 7,preDiscovery_start,46:38.824,46:37.875,backend +949ms,,,,
Turn 7,preDiscovery_end,46:40.433,46:39.999,backend +434ms,,,,
Turn 7,discovery_start,46:40.963,46:40.000,backend +963ms,,,,
Turn 7,discovery_end,46:42.673,46:42.050,backend +623ms,,,,
Turn 7,first_token,46:50.349,46:49.741,backend +608ms,7676ms,7690ms,11525ms,11866ms
Turn 8,preDiscovery_start,47:37.076,47:36.116,backend +960ms,,,,
Turn 8,preDiscovery_end,47:38.779,47:38.144,backend +635ms,,,,
Turn 8,discovery_start,47:39.056,47:38.145,backend +911ms,,,,
Turn 8,discovery_end,47:40.211,47:39.681,backend +530ms,,,,
Turn 8,first_token,47:59.147,47:58.538,backend +609ms,18936ms,18857ms,22071ms,22422ms
Turn 9,preDiscovery_start,48:39.911,48:38.977,backend +934ms,,,,
Turn 9,preDiscovery_end,48:41.915,48:41.274,backend +641ms,,,,
Turn 9,discovery_start,48:42.267,48:41.274,backend +993ms,,,,
Turn 9,discovery_end,48:43.457,48:42.831,backend +626ms,,,,
Turn 9,first_token,48:53.648,48:52.989,backend +659ms,10191ms,10157ms,13737ms,14012ms
Turn 10,preDiscovery_start,49:43.562,49:42.570,backend +992ms,,,,
Turn 10,preDiscovery_end,49:45.217,49:44.606,backend +611ms,,,,
Turn 10,discovery_start,49:45.594,49:44.606,backend +988ms,,,,
Turn 10,discovery_end,49:46.657,49:46.031,backend +626ms,,,,
Turn 10,first_token,49:55.041,49:54.476,backend +565ms,8384ms,8444ms,11479ms,11906ms
